case_id,case_family,true_continuation,artifact_similarity,task_progression,temporal_proximity,behavioral_similarity,independent_corroboration,evidence_current,baseline_linked,baseline_score,false_positive,false_negative,counterexample
RM-0001,benign_same_domain,False,0.802,0.345,0.263,0.747,0.197,True,False,0.5271,False,False,False
RM-0002,benign_same_domain,False,0.548,0.354,0.48,0.367,0.232,True,False,0.4323,False,False,False
RM-0003,benign_same_domain,False,0.553,0.465,0.596,0.66,0.021,True,False,0.5014,False,False,False
RM-0004,benign_same_domain,False,0.785,0.56,0.46,0.32,0.073,True,False,0.5362,False,False,False
RM-0005,true_continuation,True,0.946,0.732,0.917,0.789,0.948,True,True,0.8676,False,False,False
RM-0006,ambiguous,False,0.882,0.648,0.571,0.57,0.427,True,True,0.6807,True,False,True
RM-0007,ambiguous,False,0.451,0.508,0.457,0.792,0.338,True,False,0.5022,False,False,False
RM-0008,benign_same_domain,False,0.495,0.617,0.676,0.428,0.218,False,False,0.5198,False,False,False
RM-0009,benign_same_domain,False,0.456,0.578,0.485,0.506,0.247,True,False,0.4766,False,False,False
RM-0010,ambiguous,False,0.79,0.734,0.305,0.822,0.227,True,True,0.6374,True,False,True
RM-0011,benign_same_domain,False,0.49,0.385,0.17,0.395,0.029,True,False,0.3478,False,False,False
RM-0012,benign_same_domain,False,0.656,0.476,0.513,0.792,0.249,False,False,0.5654,False,False,False
RM-0013,benign_same_domain,False,0.729,0.475,0.101,0.782,0.227,True,False,0.5122,False,False,False
RM-0014,true_continuation,True,0.981,0.906,0.758,0.825,0.517,True,True,0.8546,False,False,False
RM-0015,ambiguous,False,0.512,0.67,0.352,0.772,0.319,True,False,0.5382,False,False,False
RM-0016,ambiguous,False,0.521,0.597,0.869,0.675,0.268,True,True,0.5981,True,False,True
RM-0017,benign_same_domain,False,0.724,0.432,0.198,0.506,0.242,True,False,0.4805,False,False,False
RM-0018,true_continuation,True,0.822,0.916,0.612,0.654,0.969,True,True,0.7979,False,False,False
